concatpedido,Filial,Nome Filial,Número do pedido,Série,Nr.Processo,Situação do Item,Dt.Emissão,Cód.Agente,Nome Fantasia,Cond.Pagto.,Contato,Situação do Pedido,Tipo de Preço,Total Pedido Compra,Item Pedido,Cód. Item,Cód.Alternativo,Descrição do Item,Unid.,Quantidade,Qtde. Convertida,Vlr.Unitário,Vlr.Mercadorias,Vlr.Desconto,Vlr.Total Item,Código Serviço,Cód. Aplicação,Nome Aplicação
114-5,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,114,UN,114,Pedido Atendido,45706,10157,FELIPE LUIZ ROGGENBACH LEITOLLES,28D,,Pedido Atendido,CIF,1401.14,5,6429,6429,CADEADO COM CHAVE,UN,1,1,50,50,0,50,,111,Obra-Compra de Insumos para Prestação de Serviços
114-4,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,114,UN,114,Pedido Atendido,45706,10157,FELIPE LUIZ ROGGENBACH LEITOLLES,28D,,Pedido Atendido,CIF,1401.14,4,9043,9043,DIESEL S10,L,20,20,5.79,115.8,0,115.8,,111,Obra-Compra de Insumos para Prestação de Serviços
114-3,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,114,UN,114,Pedido Atendido,45706,10157,FELIPE LUIZ ROGGENBACH LEITOLLES,28D,,Pedido Atendido,CIF,1401.14,3,9041,9041,GASOLINA,L,5.91,5.91,6.3384090000000004,37.46,0,37.46,,111,Obra-Compra de Insumos para Prestação de Serviços
114-2,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,114,UN,114,Pedido Atendido,45706,10157,FELIPE LUIZ ROGGENBACH LEITOLLES,28D,,Pedido Atendido,CIF,1401.14,2,6381,6381,BROCA SDS PLUS 10MMX160MM,UN,5,5,15,75,0,75,,111,Obra-Compra de Insumos para Prestação de Serviços
115-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,115,UN,115,Pedido Atendido,45706,4812,SUPER BRILHO,28D,,Pedido Atendido,CIF,770.31,1,6908,6908,COPO PLÁSTICO 180ML,UN,10000,10000,3.9960000000000002E-2,399.6,0,399.6,,111,Obra-Compra de Insumos para Prestação de Serviços
115-5,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,115,UN,115,Pedido Atendido,45706,4812,SUPER BRILHO,28D,,Pedido Atendido,CIF,770.31,5,6976,6976,VASSOURA NYLON,UN,10,10,7.3,73,0,73,,111,Obra-Compra de Insumos para Prestação de Serviços
115-4,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,115,UN,115,Pedido Atendido,45706,4812,SUPER BRILHO,28D,,Pedido Atendido,CIF,770.31,4,6974,6974,VASSOURA GARI 60CM,UN,10,10,16.79,167.9,0,167.9,,111,Obra-Compra de Insumos para Prestação de Serviços
115-3,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,115,UN,115,Pedido Atendido,45706,4812,SUPER BRILHO,28D,,Pedido Atendido,CIF,770.31,3,6966,6966,SACO DE LIXO 50L,UN,500,500,0.1479,73.95,0,73.95,,111,Obra-Compra de Insumos para Prestação de Serviços
115-2,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,115,UN,115,Pedido Atendido,45706,4812,SUPER BRILHO,28D,,Pedido Atendido,CIF,770.31,2,6959,6959,SACO DE LIXO 100L,UN,250,250,0.22344,55.86,0,55.86,,111,Obra-Compra de Insumos para Prestação de Serviços
116-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,116,UN,116,Pedido Atendido,45708,3777,MARCELO LUIZ ELIAS 00141341955,28D,,Pedido Atendido,CIF,450,1,5652,5652,SERVIÇOS DE FOTOS E FILMAGENS,VB,1,1,450,450,0,450,72,207,Adm-Serviços Tomados
117-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,117,UN,117,Pedido Atendido,45708,2131,PERUZZO IMOVEIS,28D,,Pedido Atendido,CIF,2056,1,5648,5648,SERVIÇOS DE AVALIAÇÃO DE IMÓVEIS,VB,1,1,2056,2056,0,2056,139,207,Adm-Serviços Tomados
118-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,118,UN,118,Pedido Atendido,45708,9421,CALLSEG TECNOLOGIA DA INFORMACAO LTDA,28D,,Pedido Atendido,CIF,753.87,1,5578,5578,SERVIÇOS DE MONITORAMENTO,MES,1,1,753.87,753.87,0,753.87,56,207,Adm-Serviços Tomados
119-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,119,UN,119,Pedido Atendido,45708,5043,SWILE DO BRASIL S.A.,28D,,Pedido Atendido,CIF,6300,1,8400,8400,GRATIFICAÇÃO,VB,1,1,6300,6300,0,6300,50,207,Adm-Serviços Tomados
122-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,122,UN,122,Pedido Atendido,45708,3462,KRAUS ALVES COMUNICACAO VISUAL LTDA,28D,,Pedido Atendido,CIF,6065,1,8238,8238,MATERIAIS DE PROPAGANDA E PUBLICIDADE,UN,1,1,6065,6065,0,6065,,206,Adm-Compra Mat.Uso e Consumo
123-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,123,UN,123,Pedido Atendido,45709,10973,CLUBE ATLETICO PARANAENSE - EVENTOS,28D,,Pedido Atendido,CIF,20000,1,8205,8205,SERVIÇOS DE PRODUÇÃO E EXECUÇÃO DE EVENTO,VB,1,1,20000,20000,0,20000,108,207,Adm-Serviços Tomados
124-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,124,UN,124,Pedido Atendido,45712,9421,CALLSEG TECNOLOGIA DA INFORMACAO LTDA,28D,,Pedido Atendido,CIF,274.10000000000002,1,5578,5578,SERVIÇOS DE MONITORAMENTO,MES,1,1,274.10000000000002,274.10000000000002,0,274.10000000000002,56,207,Adm-Serviços Tomados
125-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,125,UN,125,Pedido Atendido,45713,1028,ADECOM DISTRIBUIDORA,45D,,Pedido Atendido,CIF,820.22,1,9069,9069,PLUG FÊMEA 20A,UN,20,20,7.35,147,0,147,,111,Obra-Compra de Insumos para Prestação de Serviços
125-3,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,125,UN,125,Pedido Atendido,45713,1028,ADECOM DISTRIBUIDORA,45D,,Pedido Atendido,CIF,820.22,3,9284,9284,REFLETOR LED 200W,UN,6,6,94.87,569.22,0,569.22,,111,Obra-Compra de Insumos para Prestação de Serviços
125-2,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,125,UN,125,Pedido Atendido,45713,1028,ADECOM DISTRIBUIDORA,45D,,Pedido Atendido,CIF,820.22,2,9070,9070,PLUG MACHO 20A,UN,20,20,5.2,104,0,104,,111,Obra-Compra de Insumos para Prestação de Serviços
126-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,126,UN,126,Pedido Atendido,45713,1764,CENTRAL DE MONTAGENS DE ESTRUTURAS DE ACO E FERRO LTDA,28D,,Pedido Atendido,CIF,14148.92,1,5146,5146,MO EXECUÇÃO DE ARMADURAS (CORTE E DOBRA),KG,18617,18617,0.76,14148.92,0,14148.92,23,107,Obra-Serviços Tomados
127-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,127,UN,127,Pedido Atendido,45713,9907,TERRA CIVIL COM DE EQUIP.PECAS E SERVICOS LTDA,28D,,Pedido Atendido,CIF,3269.4,1,3313,3313,LOCAÇÃO DE MARTELETE ROMPEDOR 10KG,MES,3,3,500,1500,0,1500,,110,Obra-Locação de Equipamento
127-3,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,127,UN,127,Pedido Atendido,45713,9907,TERRA CIVIL COM DE EQUIP.PECAS E SERVICOS LTDA,28D,,Pedido Atendido,CIF,3269.4,3,3261,3261,"LOCAÇÃO DE BOMBA SUBMERSÍVEL 2"" ELÉTRICA",MES,1,1,1669.4,1669.4,0,1669.4,,110,Obra-Locação de Equipamento
127-2,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,127,UN,127,Pedido Atendido,45713,9907,TERRA CIVIL COM DE EQUIP.PECAS E SERVICOS LTDA,28D,,Pedido Atendido,CIF,3269.4,2,3286,3286,LOCAÇÃO DE FURADEIRA /MARTELET SDS PLUS 220W,MES,1,1,100,100,0,100,,110,Obra-Locação de Equipamento
128-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,128,UN,128,Pedido Atendido,45714,4545,"RANDA PORTAS, MOLDURAS E COMPENSADOS LTDA",28D,,Pedido Atendido,CIF,47391.75,1,600,600,"COMPENSADO PLASTIFICADO 17MM 1,10X2,20",UN,600,600,78.986249999999998,47391.75,0,47391.75,,111,Obra-Compra de Insumos para Prestação de Serviços
129-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,129,UN,129,Pedido Atendido,45714,4545,"RANDA PORTAS, MOLDURAS E COMPENSADOS LTDA",28D,,Pedido Atendido,CIF,44408.4,1,5154,5154,MO EXECUÇÃO DE FORMA PARA ESTRUTURA,M2,1452,1452,30.584298,44408.4,0,44408.4,23,107,Obra-Serviços Tomados
130-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,130,UN,130,Pedido Atendido,45716,11055,ELISANDRA SALGADO CASTELLANI,28D,,Pedido Atendido,CIF,200,1,9032,9032,REEMBOLSO DE DESPESAS DIVERSAS,VB,1,1,200,200,0,200,,209,Adm-Outras Entradas
131-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,131,UN,131,Pedido Atendido,45719,10632,KETRYN AFONSO GLONEK,28D,,Pedido Atendido,CIF,5200,1,1,1,SERVIÇO DE FRETE,VB,8,8,650,5200,0,5200,97,107,Obra-Serviços Tomados
132-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,132,UN,132,Pedido Atendido,45720,10157,FELIPE LUIZ ROGGENBACH LEITOLLES,28D,,Pedido Atendido,CIF,1900,1,175,175,SAIBRO MEDIO,M3,28,28,67.857142999999994,1900,0,1900,,111,Obra-Compra de Insumos para Prestação de Serviços
133-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,133,UN,133,Parcialmente Atendido,45720,3165,INOVACAO TRANSPORTE E LOGISTICA LTDA,28D,,Pedido em Aberto,CIF,22200,1,1,1,SERVIÇO DE FRETE,VB,6,6,3700,22200,0,22200,97,107,Obra-Serviços Tomados
134-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,134,UN,134,Pedido Atendido,45720,4774,WEBER QUATTZOLIT,28D,,Pedido Atendido,CIF,1400,1,9541,9541,AGENTE DE CURA QUÍMICA PARA CONCRETO,L,200,200,7,1400,0,1400,,111,Obra-Compra de Insumos para Prestação de Serviços
135-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,135,UN,135,Pedido Atendido,45721,9888,PARTNERBANK INSTITUICAO DE PAGAMENTO S.A,À VISTA,,Pedido Atendido,CIF,2259.19,1,8394,8394,TAXAS DE CONDOMÍNIO,VB,1,1,2259.19,2259.19,0,2259.19,,209,Adm-Outras Entradas
136-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,136,UN,136,Pedido Atendido,45721,1232,AQUA,28D,,Pedido Atendido,CIF,1140,1,8385,8385,MENSALIDADE TV TOUCH,VB,1,1,1140,1140,0,1140,52,209,Adm-Outras Entradas
137-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,137,UN,137,Pedido Atendido,45721,3587,CANDY SHOP,28D,,Pedido Atendido,CIF,75.8,1,8211,8211,SERVIÇOS DE AGÊNCIA DE MARKETING (FEE),VB,1,1,75.8,75.8,0,75.8,52,207,Adm-Serviços Tomados
138-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,138,UN,138,Pedido Atendido,45722,1171,AMPP SERVICOS GERAIS LTDA,28D,,Pedido Atendido,CIF,2352.7800000000002,1,8217,8217,SERVIÇOS DE LIMPEZA E CONSERVAÇÃO,VB,1,1,2352.7800000000002,2352.7800000000002,0,2352.7800000000002,31,207,Adm-Serviços Tomados
139-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,139,UN,139,Pedido Atendido,45722,2016,COPLAS INDUSTRIA DE PLASTICOS LTDA,28D,,Pedido Atendido,CIF,5575.5,1,6436,6436,CANTONEIRA PARA PILAR,UN,300,300,19.483267000000001,5844.98,269.48,5575.5,,111,Obra-Compra de Insumos para Prestação de Serviços
140-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,140,UN,140,Pedido Atendido,45722,2622,FAVRETTO MIDIA EXTERIOR,28D,,Pedido Atendido,CIF,10320,1,8179,8179,LOCAÇÃO DE ESPAÇO PUBLICITÁRIO,VB,1,1,10320,10320,0,10320,155,207,Adm-Serviços Tomados
141-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,141,UN,141,Pedido Atendido,45723,9873,OUTDOORMIDIA LOCACAO DE ESPACOS PARA PUBLICIDADE LTDA,28D,,Pedido Atendido,CIF,6160,1,8179,8179,LOCAÇÃO DE ESPAÇO PUBLICITÁRIO,VB,1,1,6160,6160,0,6160,1,207,Adm-Serviços Tomados
142-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,142,UN,142,Pedido Atendido,45726,9888,PARTNERBANK INSTITUICAO DE PAGAMENTO S.A,À VISTA,,Pedido Atendido,CIF,2323.2199999999998,1,8394,8394,TAXAS DE CONDOMÍNIO,VB,1,1,2323.2199999999998,2323.2199999999998,0,2323.2199999999998,,209,Adm-Outras Entradas
143-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,143,UN,143,Pedido Atendido,45726,1719,CASA NOVA,28D,,Pedido Atendido,CIF,575.6,1,6599,6599,PULVERIZADOR COSTAL,UN,2,2,165.95,331.9,0,331.9,,111,Obra-Compra de Insumos para Prestação de Serviços
143-3,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,143,UN,143,Pedido Atendido,45726,1719,CASA NOVA,28D,,Pedido Atendido,CIF,575.6,3,6554,6554,LAMINA DE SERRA MANUAL,UN,15,15,9.1,136.5,0,136.5,,111,Obra-Compra de Insumos para Prestação de Serviços
143-2,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,143,UN,143,Pedido Atendido,45726,1719,CASA NOVA,28D,,Pedido Atendido,CIF,575.6,2,6674,6674,TRENA DE AÇO 8 METROS,UN,2,2,53.6,107.2,0,107.2,,111,Obra-Compra de Insumos para Prestação de Serviços
144-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,144,UN,144,Pedido Atendido,45726,9853,DMS TELECOMUNICACOES,28D,,Pedido Atendido,CIF,202.29,1,7891,7891,CONSUMO DE INTERNET,VB,1,1,202.29,202.29,0,202.29,,209,Adm-Outras Entradas
145-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,145,UN,145,Pedido Atendido,45728,4048,SECRETARIA MUNICIPAL DE FINANCAS,28D,,Pedido Atendido,CIF,7941.55,1,8838,8838,TAXAS VAGAS PARA CARGA E DESCARGA,VB,1,1,7941.55,7941.55,0,7941.55,,109,Obra-Outras Entradas
146-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,146,UN,146,Pedido Atendido,45728,9429,LIGGA TELECOMUNICACOES S.A,28D,,Pedido Atendido,CIF,600,1,7891,7891,CONSUMO DE INTERNET,VB,1,1,600,600,0,600,,209,Adm-Outras Entradas
147-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,147,UN,147,Pedido Atendido,45729,9836,GIRO PAGAMENTOS E TECNOLOGIA LTDA,07D,,Pedido Atendido,CIF,2951.3,1,8378,8378,DESPESAS DIVERSAS TABELIONATO,VB,1,1,2951.3,2951.3,0,2951.3,,209,Adm-Outras Entradas
148-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,148,UN,148,Parcialmente Atendido,45717,4048,SECRETARIA MUNICIPAL DE FINANCAS,10X,,Pedido em Aberto,CIF,110642.95,1,8389,8389,"IPTU, ITR",VB,110642.95,110642.95,1,110642.95,0,110642.95,,209,Adm-Outras Entradas
150-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,150,UN,150,Pedido Atendido,45730,9403,GERAPAR,28D,,Pedido Atendido,CIF,14680,1,3294,3294,LOCAÇÃO DE GERADOR,MES,1,1,14680,14680,0,14680,,210,Adm-Locações
151-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,151,UN,151,Pedido Atendido,45727,5292,VALENTE EVENTOS LTDA,28D,,Pedido Atendido,CIF,25000,1,8205,8205,SERVIÇOS DE PRODUÇÃO E EXECUÇÃO DE EVENTO,VB,1,1,25000,25000,0,25000,108,207,Adm-Serviços Tomados
152-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,152,UN,152,Pedido Atendido,45730,2638,FEPASEG,28D,,Pedido Atendido,CIF,97.5,1,6554,6554,LAMINA DE SERRA MANUAL,UN,15,15,6.8,102,4.5,97.5,,111,Obra-Compra de Insumos para Prestação de Serviços
153-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,153,UN,153,Pedido Atendido,45730,4812,SUPER BRILHO,28D,,Pedido Atendido,CIF,621.29,1,9008,9008,ALCOOL PARA LIMPEZA,UN,15,15,5.88,88.2,0,88.2,,111,Obra-Compra de Insumos para Prestação de Serviços
153-14,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,153,UN,153,Pedido Atendido,45730,4812,SUPER BRILHO,28D,,Pedido Atendido,CIF,621.29,14,6946,6946,PAPEL TOALHA,UN,30,30,8.2799999999999994,248.4,0,248.4,,111,Obra-Compra de Insumos para Prestação de Serviços
153-9,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,153,UN,153,Pedido Atendido,45730,4812,SUPER BRILHO,28D,,Pedido Atendido,CIF,621.29,9,6947,6947,PEDRA SANITÁRIA,UN,25,25,1.18,29.5,0,29.5,,111,Obra-Compra de Insumos para Prestação de Serviços
153-8,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,153,UN,153,Pedido Atendido,45730,4812,SUPER BRILHO,28D,,Pedido Atendido,CIF,621.29,8,6945,6945,PAPEL HIGIÊNICO,UN,192,192,0.75749999999999995,145.44,0,145.44,,111,Obra-Compra de Insumos para Prestação de Serviços
153-5,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,153,UN,153,Pedido Atendido,45730,4812,SUPER BRILHO,28D,,Pedido Atendido,CIF,621.29,5,6916,6916,DETERGENTE 5L,UN,5,5,9.9499999999999993,49.75,0,49.75,,111,Obra-Compra de Insumos para Prestação de Serviços
153-2,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,153,UN,153,Pedido Atendido,45730,4812,SUPER BRILHO,28D,,Pedido Atendido,CIF,621.29,2,9085,9085,ÁGUA SANITÁRIA 5L,UN,8,8,7.5,60,0,60,,111,Obra-Compra de Insumos para Prestação de Serviços
154-3,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,154,UN,154,Pedido Não Atendido,45730,1023,ACTTION HIGIENE E LIMPEZA,28D,,Pedido em Aberto,CIF,1196.6600000000001,3,9542,9542,BALDE PLÁSTICO 10L,UN,8,8,10.47,83.76,0,83.76,,111,Obra-Compra de Insumos para Prestação de Serviços
154-13,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,154,UN,154,Pedido Não Atendido,45730,1023,ACTTION HIGIENE E LIMPEZA,28D,,Pedido em Aberto,CIF,1196.6600000000001,13,6959,6959,SACO DE LIXO 100L,UN,500,500,0.22470000000000001,112.35,0,112.35,,111,Obra-Compra de Insumos para Prestação de Serviços
154-12,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,154,UN,154,Pedido Não Atendido,45730,1023,ACTTION HIGIENE E LIMPEZA,28D,,Pedido em Aberto,CIF,1196.6600000000001,12,8318,8318,PANO MULTIUSO,R,10,10,73.87,738.7,0,738.7,,111,Obra-Compra de Insumos para Prestação de Serviços
154-11,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,154,UN,154,Pedido Não Atendido,45730,1023,ACTTION HIGIENE E LIMPEZA,28D,,Pedido em Aberto,CIF,1196.6600000000001,11,6966,6966,SACO DE LIXO 50L,UN,500,500,0.13270000000000001,66.349999999999994,0,66.349999999999994,,111,Obra-Compra de Insumos para Prestação de Serviços
154-10,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,154,UN,154,Pedido Não Atendido,45730,1023,ACTTION HIGIENE E LIMPEZA,28D,,Pedido em Aberto,CIF,1196.6600000000001,10,6956,6956,SABONETE LÍQUIDO 5L,UN,5,5,15.57,77.849999999999994,0,77.849999999999994,,111,Obra-Compra de Insumos para Prestação de Serviços
154-7,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,154,UN,154,Pedido Não Atendido,45730,1023,ACTTION HIGIENE E LIMPEZA,28D,,Pedido em Aberto,CIF,1196.6600000000001,7,6921,6921,ESPONJA MULTI USO,UN,15,15,0.57999999999999996,8.6999999999999993,0,8.6999999999999993,,111,Obra-Compra de Insumos para Prestação de Serviços
154-6,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,154,UN,154,Pedido Não Atendido,45730,1023,ACTTION HIGIENE E LIMPEZA,28D,,Pedido em Aberto,CIF,1196.6600000000001,6,6920,6920,ESCOVA SANITÁRIA,UN,5,5,3.47,17.350000000000001,0,17.350000000000001,,111,Obra-Compra de Insumos para Prestação de Serviços
154-4,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,154,UN,154,Pedido Não Atendido,45730,1023,ACTTION HIGIENE E LIMPEZA,28D,,Pedido em Aberto,CIF,1196.6600000000001,4,6913,6913,DESINFETANTE 5L,UN,10,10,9.16,91.6,0,91.6,,111,Obra-Compra de Insumos para Prestação de Serviços
155-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,155,UN,155,Pedido Atendido,45730,3874,MAXXI INDUSTRIA DE PREGOS LTDA,28D,,Pedido Atendido,CIF,4210,1,319,319,PREGO 17X27,KG,300,300,8.42,2526,0,2526,,111,Obra-Compra de Insumos para Prestação de Serviços
155-2,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,155,UN,155,Pedido Atendido,45730,3874,MAXXI INDUSTRIA DE PREGOS LTDA,28D,,Pedido Atendido,CIF,4210,2,323,323,PREGO 18X27,KG,200,200,8.42,1684,0,1684,,111,Obra-Compra de Insumos para Prestação de Serviços
156-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,156,UN,156,Pedido Atendido,45733,2893,GO CHARGE MIDIA,28D,,Pedido Atendido,CIF,8494.5,1,9046,9046,SERVIÇOS DE ATIVAÇÃO PROMOCIONAL,VB,1,1,8494.5,8494.5,0,8494.5,53,207,Adm-Serviços Tomados
157-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,157,UN,157,Pedido Atendido,45733,2893,GO CHARGE MIDIA,28D,,Pedido Atendido,CIF,5900,1,9046,9046,SERVIÇOS DE ATIVAÇÃO PROMOCIONAL,VB,1,1,5900,5900,0,5900,53,207,Adm-Serviços Tomados
158-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,158,UN,158,Pedido Atendido,45734,9546,TELEFONICA BRASIL S.A.,28D,,Pedido Atendido,CIF,99.99,1,7891,7891,CONSUMO DE INTERNET,VB,1,1,99.99,99.99,0,99.99,,209,Adm-Outras Entradas
159-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,159,UN,159,Pedido Atendido,45735,5176,TOTAL LONAS FERRAMENTAS E ABRASIVOS,28D,,Pedido Atendido,CIF,925.65,1,6459,6459,"DISCO DE CORTE 180X1,6X22,23MM",UN,150,150,4.3499999999999996,652.5,0,652.5,,111,Obra-Compra de Insumos para Prestação de Serviços
159-8,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,159,UN,159,Pedido Atendido,45735,5176,TOTAL LONAS FERRAMENTAS E ABRASIVOS,28D,,Pedido Atendido,CIF,925.65,8,6405,6405,BROCA SDS PLUS 8MMX210MM,UN,20,20,7.5,150,0,150,,111,Obra-Compra de Insumos para Prestação de Serviços
159-5,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,159,UN,159,Pedido Atendido,45735,5176,TOTAL LONAS FERRAMENTAS E ABRASIVOS,28D,,Pedido Atendido,CIF,925.65,5,6382,6382,BROCA SDS PLUS 10MMX210MM,UN,13,13,7.55,98.15,0,98.15,,111,Obra-Compra de Insumos para Prestação de Serviços
159-3,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,159,UN,159,Pedido Atendido,45735,5176,TOTAL LONAS FERRAMENTAS E ABRASIVOS,28D,,Pedido Atendido,CIF,925.65,3,6843,6843,LÂMINA DE ESTILETE 25MM,UN,50,50,0.5,25,0,25,,111,Obra-Compra de Insumos para Prestação de Serviços
160-2,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,160,UN,160,Pedido Atendido,45735,1719,CASA NOVA,28D,,Pedido Atendido,CIF,4012.24,2,6478,6478,DISCO DE SERRA 185X36DX20MM,UN,150,150,24.63,3694.5,19.79,3674.71,,111,Obra-Compra de Insumos para Prestação de Serviços
160-7,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,160,UN,160,Pedido Atendido,45735,1719,CASA NOVA,28D,,Pedido Atendido,CIF,4012.24,7,6402,6402,BROCA SDS PLUS 6MMX210MM,UN,20,20,7.8,156,6.27,149.72999999999999,,111,Obra-Compra de Insumos para Prestação de Serviços
160-6,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,160,UN,160,Pedido Atendido,45735,1719,CASA NOVA,28D,,Pedido Atendido,CIF,4012.24,6,6385,6385,BROCA SDS PLUS 12MMX310MM,UN,13,13,11.1,144.30000000000001,8.92,135.38,,111,Obra-Compra de Insumos para Prestação de Serviços
160-4,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,160,UN,160,Pedido Atendido,45735,1719,CASA NOVA,28D,,Pedido Atendido,CIF,4012.24,4,6368,6368,BROCA CHATA 32MM,UN,10,10,5.7,57,4.58,52.42,,111,Obra-Compra de Insumos para Prestação de Serviços
161-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,161,UN,161,Pedido Atendido,45736,5292,VALENTE EVENTOS LTDA,28D,,Pedido Atendido,CIF,8882.32,1,9046,9046,SERVIÇOS DE ATIVAÇÃO PROMOCIONAL,VB,1,1,8882.32,8882.32,0,8882.32,107,207,Adm-Serviços Tomados
162-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,162,UN,162,Pedido Atendido,45737,3462,KRAUS ALVES COMUNICACAO VISUAL LTDA,28D,,Pedido Atendido,CIF,10638,1,8238,8238,MATERIAIS DE PROPAGANDA E PUBLICIDADE,UN,1,1,10638,10638,0,10638,,206,Adm-Compra Mat.Uso e Consumo
163-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,163,UN,163,Pedido Atendido,45737,3462,KRAUS ALVES COMUNICACAO VISUAL LTDA,28D,,Pedido Atendido,CIF,7092,1,8238,8238,MATERIAIS DE PROPAGANDA E PUBLICIDADE,UN,1,1,7092,7092,0,7092,,206,Adm-Compra Mat.Uso e Consumo
164-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,164,UN,164,Pedido Atendido,45740,4545,"RANDA PORTAS, MOLDURAS E COMPENSADOS LTDA",28D,,Pedido Atendido,CIF,80000,1,600,600,"COMPENSADO PLASTIFICADO 17MM 1,10X2,20",UN,500,500,163.9,81950,5450,80000,,111,Obra-Compra de Insumos para Prestação de Serviços
